"State","Month","Year","Dayweek","Time","Crash_Type","Bus_Involvement","Heavy_Rigid_Truck_Involvement","Articulated_Truck_Involvement","Speed_Limit","Road_User","Gender","Age","National_Remoteness_Areas_2021","SA4_Name_2021","National_LGA_Name_2021","National_Road_Type","Christmas_Period","Easter_Period","Crash_ID"
"SA","11","2017","Monday","16:40:00","Multiple","No","No","No","100","Passenger","Male","82","Outer Regional Australia","Barossa - Yorke - Mid North","Yorke Peninsula","Collector Road","No","No","520171700134838"
"NSW","3","2023","Thursday","12:15:00","Multiple","No","No","No","50","Driver","Female","81","Outer Regional Australia","Capital Region","Eurobodalla","National or State Highway","No","No","4613790486293974598"
"NSW","3","2026","Thursday","17:00:00","Multiple","No","No","Yes","100","Driver","Female","50","Inner Regional Australia","Murray","Berrigan","National or State Highway","No","No","7627621067654441635"
"SA","2","2023","Sunday","21:00:00","Single","No","No","No","60","Pedestrian","Male","64","Major Cities of Australia","Adelaide - South","Marion","National or State Highway","No","No","3034034301005935551"
"NSW","6","2022","Saturday","15:50:00","Single","No","No","No","60","Pedestrian","Male","76","Major Cities of Australia","Sydney - Inner West","Inner West","Arterial Road","No","No","120221293978"
"WA","9","2022","Wednesday","20:45:00","Multiple","No","No","No","80","Motorcycle rider","Male","37","Major Cities of Australia","Perth - South West","Cockburn","Arterial Road","No","No","5380977723353128570"
"QLD","3","2018","Thursday","11:00:00","Single","No","No","No","100","Driver","Male","39","Outer Regional Australia","Cairns","Douglas","Sub-arterial Road","No","No","320180537461"
"NSW","6","2017","Wednesday","08:10:00","Multiple","No","No","No","50","Driver","Female","60","Inner Regional Australia","Richmond - Tweed","Kyogle","Local Road","No","No","120171139378"
"SA","3","2019","Saturday","20:15:00","Multiple","No","No","No","100","Motorcycle rider","Male","30","Major Cities of Australia","Adelaide - South","Marion","National or State Highway","No","No","520191900052767"
"NT","9","2023","Friday","16:53:00","Multiple","No","No","Yes","130","Unknown","Female","5","Remote Australia","Northern Territory - Outback","Victoria Daly","National or State Highway","No","No","5960485739176667467"
"VIC","5","2019","Friday","00:01:00","Single","No","No","No","80","Driver","Male","22","Inner Regional Australia","Melbourne - South East","Cardinia","Arterial Road","No","No","7362198767495710554"
"SA","5","2019","Monday","18:15:00","Multiple","No","No","No","100","Driver","Male","30","Inner Regional Australia","South Australia - South East","Mid Murray","Arterial Road","No","No","520191900112596"
"QLD","6","2021","Monday","06:00:00","Multiple","No","No","Yes","100","Driver","Male","18","Inner Regional Australia","Darling Downs - Maranoa","Toowoomba","National or State Highway","No","No","320211176706"
"VIC","4","2024","Saturday","01:06:00","Single","No","No","No","100","Driver","Male","25","Inner Regional Australia","Hume","Wangaratta","Arterial Road","No","No","2944879987817665701"
"VIC","5","2025","Sunday","11:33:00","Multiple","No","No","No","80","Motorcycle rider","Female","50","Inner Regional Australia","Warrnambool and South West","Colac Otway","Arterial Road","No","No","4552297641766641534"
"TAS","5","2017","Friday","20:30:00","Single","No","No","No","100","Driver","Male","26","Outer Regional Australia","Launceston and North East","Meander Valley","Local Road","No","No","620172132"
"NT","5","2016","Friday","18:20:00","Multiple","No","No","No","60","Driver","Male","34","Remote Australia","Northern Territory - Outback","Alice Springs","National or State Highway","No","No","72016149576"
"SA","7","2023","Friday","08:21:00","Multiple","No","No","No","110","Driver","Female","30","Outer Regional Australia","South Australia - South East","Karoonda East Murray","Arterial Road","No","No","1326800004523097998"
"VIC","10","2023","Sunday","14:50:00","Multiple","No","No","No","80","Passenger","Male","21","Major Cities of Australia","Mornington Peninsula","Frankston","Sub-arterial Road","No","No","7513982230238296695"
"NSW","8","2017","Sunday","16:35:00","Single","No","No","No","110","Passenger","Female","64","Inner Regional Australia","Richmond - Tweed","Tweed","National or State Highway","No","No","120171144812"
"NT","6","2019","Thursday","15:30:00","Single","No","No","No","130","Driver","Female","57","Very Remote Australia","Northern Territory - Outback","MacDonnell","National or State Highway","No","No","72019157899"
"NSW","9","2019","Friday","20:02:00","Single","No","No","No","50","Pedestrian","Male","52","Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","120191212719"
"QLD","4","2024","Saturday","11:00:00","Multiple","Yes","No","No","70","Passenger","Female","91","Major Cities of Australia","Brisbane - North","Brisbane","Collector Road","No","No","2594044143875654465"
"QLD","2","2022","Sunday","20:00:00","Single","No","No","No","60","Driver","Female","42","Major Cities of Australia","Gold Coast","Gold Coast","Local Road","No","No","1486788655557457209"
"VIC","9","2017","Saturday","19:20:00","Single","No","No","No","100","Motorcycle rider","Male","46","Outer Regional Australia","Warrnambool and South West","Corangamite","Arterial Road","No","No","1648129705966196297"
"SA","8","2025","Friday","07:58:00","Multiple","No","No","No","110","Driver","Female","55","Inner Regional Australia","Barossa - Yorke - Mid North","Adelaide Plains","Collector Road","No","No","4469359390927646289"
"NSW","6","2023","Thursday","07:06:00","Single","No","No","No","100","Driver","Male","73","Outer Regional Australia","Central West","Weddin","Arterial Road","No","No","2826524862153136146"
"SA","9","2023","Tuesday","18:01:00","Multiple","No","No","No","40","Motorcycle rider","Male","25","Major Cities of Australia","Adelaide - West","Charles Sturt","Sub-arterial Road","No","No","3896795540985142332"
"VIC","8","2017","Thursday","21:40:00","Multiple","No","No","No","100","Pedestrian","Male","56","Inner Regional Australia","Shepparton","Moira","National or State Highway","No","No","4599722322092472277"
"WA","9","2022","Monday","21:47:00","Single","No","No","No","80","Driver","Male","45","Very Remote Australia","Western Australia - Outback (North)","Broome","National or State Highway","No","No","5596109857787066792"
"VIC","8","2018","Saturday","00:50:00","Single","No","No","No","80","Passenger","Male","12","Inner Regional Australia","Shepparton","Greater Shepparton","Collector Road","No","No","4070358362943174517"
"VIC","6","2019","Saturday","19:35:00","Single","No","No","No","100","Driver","Male","37","Inner Regional Australia","Melbourne - South East","Cardinia","Local Road","No","No","5651950352592881470"
"QLD","10","2018","Monday","22:00:00","Single","No","No","No","100","Driver","Male","19","Inner Regional Australia","Wide Bay","South Burnett","National or State Highway","No","No","320181827342"
"WA","3","2015","Saturday","04:40:00","Multiple","No","Yes","No","100","Driver","Male","57","Major Cities of Australia","Perth - South West","Kwinana","National or State Highway","No","No","5201503280038"
"QLD","11","2022","Wednesday","18:00:00","Single","No","No","No","60","Passenger","Male","22","Major Cities of Australia","Logan - Beaudesert","Logan","Local Road","No","No","2416375348850037241"
"VIC","1","2015","Wednesday","06:35:00","Single","No","No","No","100","Passenger","Male","22","Inner Regional Australia","Hume","Mitchell","National or State Highway","No","No","2201501280018"
"NSW","10","2025","Sunday","01:00:00","Single","No","No","No","100","Driver","Male","54","Inner Regional Australia","Central West","Lithgow","Local Road","No","No","8759940375409059628"
"VIC","8","2021","Sunday","01:00:00","Single","No","No","No","60","Driver","Male","36","Major Cities of Australia","Melbourne - North East","Mitchell","Local Road","No","No","8240979841834053453"
"VIC","5","2015","Saturday","00:50:00","Single","No","No","No","100","Driver","Male","31","Outer Regional Australia","Warrnambool and South West","Glenelg","Arterial Road","No","No","2201505020078"
"NSW","10","2017","Friday","20:20:00","Single","No","No","No","100","Motorcycle rider","Male","57","Outer Regional Australia","Far West and Orana","Warrumbungle Shire","Sub-arterial Road","No","No","120171152044"
"VIC","9","2023","Friday","11:00:00","Multiple","No","No","No","100","Motorcycle rider","Male","31","Outer Regional Australia","Warrnambool and South West","Glenelg","National or State Highway","No","No","8345099309970778294"
"VIC","3","2024","Friday","12:45:00","Single","No","No","No","100","Driver","Male","56","Inner Regional Australia","Latrobe - Gippsland","Wellington","Sub-arterial Road","No","No","8905776601759780346"
"NSW","10","2023","Wednesday","18:40:00","Single","No","No","No","60","Driver","Male","40","Major Cities of Australia","Sydney - Baulkham Hills and Hawkesbury","Hawkesbury","Collector Road","No","No","4823956588046795438"
"NSW","1","2022","Saturday","16:05:00","Single","No","No","No","100","Motorcycle rider","Male","57","Outer Regional Australia","Capital Region","Upper Lachlan Shire","Arterial Road","No","No","120221280517"
"NSW","3","2025","Sunday","14:55:00","Single","No","No","No","100","Motorcycle rider","Female","62","Outer Regional Australia","Far West and Orana","Warrumbungle Shire","Arterial Road","No","No","7438783197691626030"
"NSW","8","2016","Wednesday","06:00:00","Single","No","Yes","No","80","Driver","Male","24","Major Cities of Australia","Sydney - South West","Camden","Collector Road","No","No","120161109372"
"QLD","1","2017","Tuesday","12:00:00","Single","Yes","No","No","50","Pedestrian","Female","1","Remote Australia","Townsville","Palm Island","Local Road","No","No","320170189181"
"TAS","5","2020","Wednesday","16:22:00","Single","No","No","No","50","Pedestrian","Female","62","Inner Regional Australia","Hobart","Glenorchy","Local Road","No","No","620202237"
"QLD","3","2020","Tuesday","10:00:00","Multiple","No","No","No","80","Driver","Male","87","Outer Regional Australia","Cairns","Mareeba","National or State Highway","No","No","320200445423"
"WA","10","2023","Friday","08:58:00","Single","No","No","No","50","Motorcycle pillion passenger","Female","31","Major Cities of Australia","Perth - South West","Cockburn","Local Road","No","No","4238704488685248"
"WA","7","2020","Saturday","15:30:00","Single","No","No","No","90","Driver","Male","76","Outer Regional Australia","Bunbury","Manjimup","Arterial Road","No","No","4202014321"
"NSW","11","2020","Saturday","22:37:00","Multiple","No","No","No","50","Pedestrian","Female","19","Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","120201245617"
"NT","3","2024","Friday","03:40:00","Single","No","No","No","40","Passenger","Male","18","Remote Australia","Northern Territory - Outback","Alice Springs","Sub-arterial Road","No","No","137749133966490520"
"WA","4","2021","Sunday","14:36:00","Multiple","No","No","No","110","Driver","Female","23","Inner Regional Australia","Bunbury","Donnybrook-Balingup","National or State Highway","No","No","4202114602"
"NSW","8","2018","Friday","17:00:00","Multiple","No","No","No","100","Driver","Male","77","Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","Arterial Road","No","No","120181179397"
"NSW","12","2017","Sunday","11:05:00","Single","No","No","No","100","Driver","Male","18","Remote Australia","Far West and Orana","Bogan","Arterial Road","No","No","120171156701"
"QLD","4","2020","Saturday","19:00:00","Single","No","No","No","60","Motorcycle rider","Male","58","Major Cities of Australia","Brisbane - South","Brisbane","Collector Road","No","No","320200681488"
"SA","2","2025","Tuesday","21:50:00","Multiple","No","No","No","60","Motorcycle rider","Female","39","Major Cities of Australia","Adelaide - North","Playford","Sub-arterial Road","No","No","7501391947632712903"
"TAS","12","2021","Friday","13:55:00","Single","No","No","No","100","Driver","Male","66","Outer Regional Australia","West and North West","Waratah-Wynyard","National or State Highway","No","No","7740579303221895567"
"SA","12","2018","Thursday","11:35:00","Multiple","No","No","Yes","110","Passenger","Male","90","Outer Regional Australia","Barossa - Yorke - Mid North","Wakefield","Local Road","Yes","No","520181800182993"
"NT","3","2021","Saturday","08:15:00","Multiple","No","No","No","60","Pedal cyclist","Male","57","Remote Australia","Northern Territory - Outback","MacDonnell","Access road","No","No","72021161942"
"NSW","8","2018","Wednesday","13:00:00","Single","No","No","No","100","Motorcycle rider","Female","69","Outer Regional Australia","New England and North West","Tamworth Regional","National or State Highway","No","No","120181179391"
"QLD","2","2025","Friday","18:00:00","Multiple","No","No","No","60","Passenger","Female","15","Major Cities of Australia","Sunshine Coast","Noosa","Sub-arterial Road","No","No","4298416795507660522"
"QLD","2","2026","Tuesday","15:00:00","Multiple","No","No","No","60","Motorcycle rider","Male","40","Outer Regional Australia","Townsville","Burdekin","Sub-arterial Road","No","No","888354939149993430"
"NSW","8","2025","Sunday","06:49:00","Single","No","No","No","110","Driver","Female","60","Inner Regional Australia","Richmond - Tweed","Byron","National or State Highway","No","No","7484029626831680529"
"WA","9","2019","Sunday","11:40:00","Multiple","No","No","No","60","Driver","Male","55","Major Cities of Australia","Perth - South East","Kalamunda","Arterial Road","No","No","4201914069"
"NSW","3","2016","Tuesday","13:00:00","Single","No","No","No","80","Passenger","Female","84","Major Cities of Australia","Central Coast","Central Coast (NSW)","Sub-arterial Road","No","No","120161096985"
"TAS","2","2023","Friday","13:40:00","Single","No","Yes","Yes","70","Pedestrian","Male","73","Outer Regional Australia","West and North West","Burnie","Collector Road","No","No","1945288396992043520"
"NSW","12","2025","Tuesday","09:35:00","Single","No","No","No","110","Driver","Female","37","Outer Regional Australia","Riverina","Cootamundra-Gundagai Regional","National or State Highway","No","No","2687804006602416297"
"WA","3","2016","Sunday","21:00:00","Multiple","No","No","No","90","Passenger","Male","30","Inner Regional Australia","Perth - North West","Wanneroo","Arterial Road","No","No","5201603060033"
"WA","7","2014","Sunday","04:00:00","Single","No","No","No","90","Driver","Male","36","Outer Regional Australia","Western Australia - Wheat Belt","Moora","Arterial Road","No","No","5201407130085"
"WA","8","2019","Tuesday","19:20:00","Multiple","No","No","No","60","Motorcycle rider","Male","37","Major Cities of Australia","Perth - Inner","Stirling","Arterial Road","No","No","4201914032"
"NSW","4","2018","Sunday","19:00:00","Multiple","No","No","No","100","Passenger","Female","68","Inner Regional Australia","Murray","Albury","Sub-arterial Road","No","No","120181168120"
"NSW","6","2020","Wednesday","14:00:00","Single","No","No","No","100","Driver","Male","80","Outer Regional Australia","Capital Region","Hilltops","Sub-arterial Road","No","No","120201234222"
"ACT","10","2025","Monday","11:55:00","Single","No","No","No","100","Motorcycle rider","Male","57","Inner Regional Australia","Australian Capital Territory","Unincorporated ACT","Collector Road","No","No","6324722806255149345"
"QLD","2","2026","Monday","18:00:00","Single","No","No","No","60","Driver","Female","43","Remote Australia","Cairns","Douglas","Collector Road","No","No","3202640126413696933"
"QLD","6","2025","Saturday","11:00:00","Single","No","No","No","50","Motorcycle rider","Male","75","Major Cities of Australia","Gold Coast","Gold Coast","Local Road","No","No","4615570367827896360"
"WA","6","2020","Tuesday","18:00:00","Single","No","No","No","110","Driver","Male","29","Very Remote Australia","Western Australia - Outback (North)","Wyndham-East Kimberley","Arterial Road","No","No","4202014300"
"VIC","3","2020","Wednesday","13:41:00","Multiple","No","No","Yes","60","Pedal cyclist","Female","22","Major Cities of Australia","Melbourne - Inner","Port Phillip","National or State Highway","No","No","4011927829379913984"
"NSW","12","2017","Thursday","12:15:00","Multiple","No","No","No","100","Driver","Female","73","Outer Regional Australia","Central West","Mid-Western Regional","National or State Highway","No","No","120171156072"
"SA","4","2022","Friday","12:58:00","Single","No","No","No","60","Driver","Male","85","Remote Australia","South Australia - Outback","Cleve","Local Road","No","No","520222200094411"
"SA","1","2015","Friday","20:05:00","Multiple","No","No","No","60","Motorcycle rider","Male","36","Major Cities of Australia","Adelaide - South","Marion","Arterial Road","Yes","No","4201501020001"
"NSW","5","2021","Saturday","12:25:00","Multiple","No","No","No","80","Motorcycle rider","Male","48","Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","Arterial Road","No","No","120211262498"
"QLD","1","2025","Wednesday","11:00:00","Multiple","No","No","No","60","Motorcycle rider","Male","44","Inner Regional Australia","Toowoomba","Toowoomba","Local Road","No","No","127918581936432096"
"QLD","10","2019","Monday","11:00:00","Single","No","No","No","100","Motorcycle rider","Male","54","Outer Regional Australia","Queensland - Outback","Mareeba","Local Road","No","No","320192004246"
"TAS","3","2024","Friday","01:19:00","Single","No","No","No","100","Passenger","Male","3","Outer Regional Australia","Launceston and North East","George Town","Arterial Road","No","No","7061521596267866769"
"NSW","12","2022","Saturday","11:00:00","Multiple","No","No","No","60","Passenger","Female","98","Major Cities of Australia","Sydney - North Sydney and Hornsby","Mosman","Arterial Road","No","No","120221307298"
"VIC","9","2020","Tuesday","17:00:00","Single","No","No","No","60","Pedal cyclist","Female","20","Major Cities of Australia","Melbourne - Inner East","Boroondara","Sub-arterial Road","No","No","6319458799680307528"
"WA","2","2026","Thursday","13:45:00","Multiple","No","No","No","80","Driver","Male","47","Inner Regional Australia","Bunbury","Donnybrook-Balingup","National or State Highway","No","No","1911321083783950848"
"NSW","11","2025","Friday","15:32:00","Multiple","No","No","No","80","Driver","Female","43","Inner Regional Australia","Mid North Coast","Kempsey","Sub-arterial Road","No","No","106495018585561425"
"NSW","11","2025","Sunday","15:16:00","Multiple","No","No","Yes","110","Driver","Female","77","Inner Regional Australia","Southern Highlands and Shoalhaven","Wingecarribee","National or State Highway","No","No","3654869287655380189"
"NSW","5","2017","Sunday","22:20:00","Single","No","No","No","50","Pedestrian","Female","36","Inner Regional Australia","Central West","Orange","National or State Highway","No","No","120171137908"
"NSW","4","2022","Tuesday","21:20:00","Single","No","No","No","70","Motorcycle rider","Male","21","Major Cities of Australia","Sydney - Blacktown","Blacktown","Arterial Road","No","No","120221287499"
"WA","11","2023","Monday","11:45:00","Multiple","No","No","No","80","Driver","Male","73","Remote Australia","Western Australia - Outback (South)","Esperance","National or State Highway","No","No","8769110332380048519"
"WA","7","2015","Wednesday","22:44:00","Multiple","No","No","Yes","110","Driver","Male","30","Outer Regional Australia","Western Australia - Wheat Belt","Gingin","National or State Highway","No","No","5201507220075"
"WA","7","2022","Tuesday","11:47:00","Single","No","No","No","60","Driver","Male","87","Major Cities of Australia","Perth - North West","Stirling","Arterial Road","No","No","924935926313859305"
"NSW","10","2021","Tuesday","11:45:00","Multiple","No","No","No","50","Driver","Male","85","Major Cities of Australia","Central Coast","Central Coast (NSW)","Collector Road","No","No","120211275539"
"NSW","4","2018","Tuesday","07:15:00","Single","No","No","No","60","Driver","Male","70","Major Cities of Australia","Sydney - Baulkham Hills and Hawkesbury","The Hills Shire","Arterial Road","No","No","120181166896"
"NSW","4","2021","Sunday","20:28:00","Single","No","No","No","60","Pedestrian","Male","54","Major Cities of Australia","Sydney - City and Inner South","Inner West","Arterial Road","No","No","120211259257"
"VIC","11","2025","Thursday","01:00:00","Multiple","No","No","No","40","Driver","Male","37","Major Cities of Australia","Melbourne - Inner East","Whitehorse","National or State Highway","No","No","1387419988804267210"
"WA","5","2025","Thursday","11:00:00","Single","No","No","No","50","Driver","Female","85","Major Cities of Australia","Perth - North West","Joondalup","Local Road","No","No","5064834267501006699"
"WA","9","2025","Saturday","09:30:00","Single","No","No","No","110","Driver","Male","26","Remote Australia","Western Australia - Wheat Belt","Lake Grace","Local Road","No","No","8196704133017564924"
"QLD","5","2019","Wednesday","14:00:00","Multiple","No","No","No","70","Passenger","Male","14","Major Cities of Australia","Moreton Bay - North","Moreton Bay","Sub-arterial Road","No","No","320191040284"
"SA","5","2016","Sunday","15:35:00","Single","No","No","No","50","Passenger","Female","92","Major Cities of Australia","Adelaide - South","Mitcham","Local Road","No","No","4201605150027"
"QLD","3","2022","Monday","17:00:00","Multiple","No","No","No","100","Driver","Female","21","Inner Regional Australia","Moreton Bay - South","Moreton Bay","Sub-arterial Road","No","No","1514440153808197346"
"QLD","4","2021","Sunday","07:00:00","Single","No","No","No","100","Motorcycle rider","Male","62","Outer Regional Australia","Wide Bay","Bundaberg","Sub-arterial Road","No","No","320210669786"
"SA","12","2015","Thursday","19:00:00","Single","No","No","No","60","Pedestrian","Male","66","Very Remote Australia","South Australia - Outback","Ceduna","Local Road","No","No","4201512030092"
"NT","2","2024","Monday","23:05:00","Single","No","No","No","80","Driver","Male","47","Outer Regional Australia","Darwin","Darwin","Arterial Road","No","No","2072220031408969487"
"WA","1","2019","Thursday","09:03:00","Single","No","No","Yes","50","Pedestrian","Male","93","Major Cities of Australia","Perth - North East","Mundaring","National or State Highway","No","No","4201913844"
"VIC","8","2022","Wednesday","16:42:00","Single","No","No","No","60","Pedestrian","Male","83","Major Cities of Australia","Melbourne - South East","Casey","Sub-arterial Road","No","No","5628967447441180499"
"QLD","8","2019","Saturday","13:00:00","Multiple","No","Yes","No","80","Driver","Male","34","Major Cities of Australia","Brisbane - North","Brisbane","Sub-arterial Road","No","No","320191593838"
"WA","7","2016","Friday","10:30:00","Multiple","No","No","Yes","110","Driver","Male","43","Very Remote Australia","Western Australia - Outback (South)","Cue","National or State Highway","No","No","5201607220094"
"NT","1","2025","Wednesday","07:21:00","Multiple","No","No","No","100","Passenger","Male","14","Very Remote Australia","Northern Territory - Outback","East Arnhem","Sub-arterial Road","No","No","6311587291061417181"
"NSW","5","2021","Saturday","04:45:00","Single","No","No","No","110","Passenger","Female","57","Outer Regional Australia","Far West and Orana","Dubbo Regional","National or State Highway","No","No","120211262499"
"NSW","11","2017","Sunday","12:31:00","Multiple","No","No","No","80","Motorcycle rider","Male","56","Outer Regional Australia","Riverina","Snowy Valleys","Sub-arterial Road","No","No","120171154723"
"NSW","7","2016","Tuesday","16:00:00","Multiple","No","No","No","50","Motorcycle rider","Male","46","Major Cities of Australia","Sydney - Parramatta","Cumberland","Collector Road","No","No","120161106650"
"NSW","9","2019","Monday","16:55:00","Multiple","No","No","No","80","Driver","Female","34","Inner Regional Australia","Sydney - Baulkham Hills and Hawkesbury","The Hills Shire","Collector Road","No","No","120191211501"
"WA","10","2025","Saturday","03:24:00","Multiple","No","No","Yes","110","Passenger","Male","24","Outer Regional Australia","Western Australia - Wheat Belt","Moora","Local Road","No","No","1360427509997808898"
"QLD","2","2020","Friday","12:00:00","Multiple","No","Yes","No","100","Driver","Female","40","Outer Regional Australia","Mackay - Isaac - Whitsunday","Mackay","Sub-arterial Road","No","No","320200316231"
"NSW","4","2021","Sunday","01:45:00","Single","No","No","No","100","Driver","Male","19","Outer Regional Australia","Far West and Orana","Warrumbungle Shire","Arterial Road","No","No","120211259267"
"NSW","10","2021","Saturday","12:50:00","Multiple","No","No","No","80","Motorcycle rider","Male","65","Inner Regional Australia","Mid North Coast","Port Macquarie-Hastings","National or State Highway","No","No","120211274635"
"VIC","10","2022","Saturday","06:20:00","Single","No","No","No","40","Motorcycle rider","Male","43","Inner Regional Australia","Bendigo","Macedon Ranges","Sub-arterial Road","No","No","9094202803523014925"
"NSW","1","2022","Sunday","09:20:00","Single","No","No","No","100","Motorcycle rider","Male","55","Inner Regional Australia","Coffs Harbour - Grafton","Clarence Valley","Local Road","No","No","120221279178"
"QLD","7","2024","Thursday","06:00:00","Single","No","No","No","40","Driver","Male","56","Major Cities of Australia","Gold Coast","Gold Coast","Collector Road","No","No","3501902499967225840"
"NSW","1","2025","Saturday","12:32:00","Single","No","No","No","100","Pedestrian","Male","50","Inner Regional Australia","Coffs Harbour - Grafton","Clarence Valley","National or State Highway","No","No","8986318995914967187"
"QLD","4","2022","Sunday","15:00:00","Multiple","No","No","No","100","Passenger","Male","20","Inner Regional Australia","Wide Bay","South Burnett","National or State Highway","No","No","8502309083604038948"
"WA","9","2020","Friday","11:24:00","Multiple","No","No","No","110","Passenger","Male","29","Very Remote Australia","Western Australia - Outback (North)","Halls Creek","Local Road","No","No","4202014370"
"VIC","12","2021","Tuesday","12:19:00","Multiple","No","No","No","100","Motorcycle rider","Male","71","Inner Regional Australia","Hume","Benalla","Sub-arterial Road","No","No","6198448970977098988"
"VIC","6","2021","Wednesday","14:38:00","Multiple","No","Yes","No","50","Driver","Male","25","Major Cities of Australia","Melbourne - North West","Hume","Arterial Road","No","No","2072679414476535241"
"VIC","11","2021","Thursday","14:30:00","Multiple","No","Yes","No","100","Passenger","Female","78","Outer Regional Australia","Latrobe - Gippsland","South Gippsland","National or State Highway","No","No","2334229849309690424"
"VIC","3","2024","Saturday","22:10:00","Multiple","No","No","No","100","Driver","Female","55","Inner Regional Australia","Geelong","Surf Coast","Sub-arterial Road","No","No","6172055174412566605"
"NSW","3","2022","Wednesday","05:20:00","Multiple","No","No","No","100","Driver","Male","21","Outer Regional Australia","New England and North West","Narrabri","National or State Highway","No","No","120221285193"
"QLD","8","2024","Friday","05:00:00","Multiple","No","No","Yes","100","Driver","Male","21","Outer Regional Australia","Central Queensland","Gladstone","National or State Highway","No","No","894913973051731239"
"QLD","8","2025","Friday","10:00:00","Single","No","No","No","100","Driver","Male","36","Very Remote Australia","Darling Downs - Maranoa","Balonne","Sub-arterial Road","No","No","1545811800535475895"
"VIC","4","2022","Tuesday","11:14:00","Single","No","No","No","80","Driver","Male","81","Major Cities of Australia","Melbourne - South East","Greater Dandenong","National or State Highway","No","No","1876327989332817645"
"NSW","1","2022","Thursday","15:59:00","Multiple","No","No","No","70","Passenger","Male","5","Major Cities of Australia","Sydney - Baulkham Hills and Hawkesbury","The Hills Shire","Collector Road","No","No","120221280495"
"QLD","8","2025","Saturday","15:00:00","Single","No","No","No","50","Pedestrian","Female","66","Outer Regional Australia","Central Queensland","Banana","Local Road","No","No","6977911337257865994"
"NSW","6","2024","Monday","15:15:00","Single","No","No","No","80","Driver","Male","85","Inner Regional Australia","Hunter Valley exc Newcastle","Port Stephens","Arterial Road","No","No","7741250945066398927"
"SA","7","2023","Thursday","23:34:00","Single","No","No","No","80","Driver","Male","52","Outer Regional Australia","South Australia - South East","Grant","Collector Road","No","No","7457880385240666190"
"VIC","11","2019","Thursday","16:35:00","Single","No","No","No","100","Pedestrian","Male","54","Major Cities of Australia","Melbourne - West","Wyndham","National or State Highway","No","No","8398523741641519570"
"VIC","11","2023","Wednesday","14:20:00","Multiple","No","No","No","100","Passenger","Female","77","Remote Australia","Latrobe - Gippsland","East Gippsland","National or State Highway","No","No","1663163956268550930"
"VIC","1","2015","Thursday","00:10:00","Multiple","No","No","No","100","Motorcycle rider","Male","35","Inner Regional Australia","Shepparton","Greater Shepparton","Local Road","Yes","No","2201501010001"
"QLD","5","2023","Wednesday","11:00:00","Multiple","No","No","No","80","Driver","Male","92","Inner Regional Australia","Wide Bay","Bundaberg","Local Road","No","No","6320837402710470235"
"SA","2","2014","Sunday","09:15:00","Single","No","No","No","60","Pedal cyclist","Male","64","Major Cities of Australia","Adelaide - South","Marion","Arterial Road","No","No","4201402020008"
"NSW","1","2020","Tuesday","02:10:00","Single","No","No","No","100","Passenger","Female","30","Inner Regional Australia","Coffs Harbour - Grafton","Bellingen","Sub-arterial Road","No","No","120201222630"
"VIC","4","2017","Tuesday","11:00:00","Single","No","No","No","40","Pedal cyclist","Male","77","Major Cities of Australia","Melbourne - Inner","Melbourne","Local Road","No","No","6714239461498469711"
"WA","9","2021","Saturday","19:10:00","Single","No","No","No","100","Driver","Female","20","Major Cities of Australia","Perth - South East","Gosnells","National or State Highway","No","No","4202114760"
"WA","2","2021","Thursday","07:27:00","Multiple","No","Yes","No","100","Driver","Male","72","Inner Regional Australia","Bunbury","Harvey","National or State Highway","No","No","4202114521"
"VIC","6","2020","Thursday","16:40:00","Multiple","No","No","No","60","Motorcycle rider","Male","32","Inner Regional Australia","Latrobe - Gippsland","Latrobe (Vic.)","Local Road","No","No","6972204527405217720"
"NSW","12","2024","Friday","04:00:00","Single","No","No","No","100","Driver","Male","74","Inner Regional Australia","Riverina","Wagga Wagga","Arterial Road","Yes","No","8659184859117577851"
"QLD","5","2022","Tuesday","17:00:00","Single","No","No","No","100","Driver","Male","61","Outer Regional Australia","Cairns","Cairns","National or State Highway","No","No","7860997633365166179"
"VIC","8","2018","Tuesday","10:35:00","Multiple","No","No","No","100","Driver","Female","86","Inner Regional Australia","Latrobe - Gippsland","South Gippsland","Local Road","No","No","6627348960110195551"
"VIC","7","2018","Wednesday","16:40:00","Multiple","No","No","No","80","Passenger","Male","42","Major Cities of Australia","Geelong","Greater Geelong","National or State Highway","No","No","80925675682575612"
"TAS","4","2021","Friday","12:04:00","Single","No","No","No","100","Driver","Male","65","Outer Regional Australia","Launceston and North East","Break O'Day","Local Road","No","No","1021123303696578796"
"WA","2","2026","Friday","23:39:00","Single","No","No","No","60","Pedestrian","Female","53","Major Cities of Australia","Perth - South East","Belmont","Arterial Road","No","No","6829301673790115932"
"NSW","9","2018","Thursday","21:30:00","Single","No","No","No","100","Driver","Male","22","Major Cities of Australia","Richmond - Tweed","Tweed","National or State Highway","No","No","120181182411"
"QLD","10","2019","Tuesday","11:00:00","Multiple","No","No","No","80","Driver","Male","36","Major Cities of Australia","Brisbane - North","Brisbane","National or State Highway","No","No","320192022508"
