"State","Month","Year","Dayweek","Time","Crash_Type","Bus_Involvement","Heavy_Rigid_Truck_Involvement","Articulated_Truck_Involvement","Speed_Limit","Road_User","Gender","Age","National_Remoteness_Areas_2021","SA4_Name_2021","National_LGA_Name_2021","National_Road_Type","Christmas_Period","Easter_Period","Crash_ID"
"QLD","5","2017","Saturday","22:00:00","Single","No","No","No","80","Driver","Female","23","Major Cities of Australia","Sunshine Coast","Sunshine Coast","Sub-arterial Road","No","No","320170789833"
"NSW","7","2020","Thursday","21:20:00","Single","No","No","No","60","Driver","Male","47","Major Cities of Australia","Newcastle and Lake Macquarie","Lake Macquarie","National or State Highway","No","No","120201237170"
"NT","1","2022","Thursday","13:05:00","Multiple","No","No","No","110","Motorcycle rider","Male","46","Remote Australia","Northern Territory - Outback","MacDonnell","Arterial Road","No","No","72022164027"
"WA","1","2025","Thursday","09:30:00","Single","No","No","No","80","Driver","Male","84","Inner Regional Australia","Bunbury","Harvey","Local Road","No","No","3926896891326641103"
"QLD","6","2019","Sunday","03:00:00","Single","No","No","No","60","Driver","Male","19","Outer Regional Australia","Townsville","Townsville","Sub-arterial Road","No","No","320191210345"
"TAS","10","2023","Tuesday","15:30:00","Multiple","No","No","No","100","Driver","Female","65","Outer Regional Australia","West and North West","Circular Head","National or State Highway","No","No","11384829788463012"
"WA","7","2018","Tuesday","18:23:00","Single","No","No","No","50","Pedestrian","Male","15","Major Cities of Australia","Perth - North East","Mundaring","Arterial Road","No","No","4201813728"
"SA","5","2020","Thursday","17:40:00","Multiple","No","No","No","100","Motorcycle rider","Male","16","Inner Regional Australia","Barossa - Yorke - Mid North","Clare and Gilbert Valleys","Collector Road","No","No","520202000112153"
"VIC","2","2017","Wednesday","16:00:00","Multiple","No","No","No","100","Driver","Female","63","Inner Regional Australia","Shepparton","Moira","Sub-arterial Road","No","No","3665581500695990973"
"NSW","10","2023","Thursday","19:40:00","Multiple","No","Yes","No","50","Driver","Male","40","Major Cities of Australia","Sydney - Blacktown","Blacktown","Local Road","No","No","1940526921647827684"
"QLD","8","2018","Tuesday","14:00:00","Multiple","No","Yes","No","100","Passenger","Female","71","Outer Regional Australia","Mackay - Isaac - Whitsunday","Whitsunday","National or State Highway","No","No","320181545433"
"TAS","7","2021","Monday","22:32:00","Single","No","No","No","100","Driver","Male","22","Inner Regional Australia","Hobart","Clarence","Collector Road","No","No","4632203451917966090"
"WA","1","2015","Tuesday","18:04:00","Multiple","No","Yes","No","100","Motorcycle rider","Male","38","Major Cities of Australia","Perth - South West","Melville","National or State Highway","No","No","5201501130004"
"NSW","3","2020","Tuesday","11:30:00","Single","No","No","No","100","Driver","Female","18","Inner Regional Australia","Central West","Cabonne","Sub-arterial Road","No","No","120201227698"
"VIC","11","2019","Thursday","16:16:00","Single","No","No","No","50","Passenger","Male","33","Major Cities of Australia","Melbourne - Inner","Port Phillip","Local Road","No","No","1915944232842195523"
"SA","1","2018","Sunday","22:05:00","Multiple","No","No","Yes","110","Driver","Male","49","Inner Regional Australia","Barossa - Yorke - Mid North","Light","National or State Highway","No","No","520181800007430"
"VIC","5","2024","Monday","17:54:00","Multiple","No","No","No","80","Motorcycle rider","Male","38","Major Cities of Australia","Melbourne - Inner South","Glen Eira","National or State Highway","No","No","8526091341819817544"
"SA","7","2023","Tuesday","14:45:00","Single","No","No","No","60","Pedal cyclist","Male","67","Major Cities of Australia","Adelaide - South","Mitcham","Collector Road","No","No","2124090675456379522"
"QLD","3","2021","Monday","06:00:00","Single","No","No","No","60","Driver","Male","38","Inner Regional Australia","Gold Coast","Scenic Rim","Local Road","No","No","320210557219"
"QLD","5","2025","Wednesday","06:00:00","Single","No","No","No","100","Driver","Male","40","Outer Regional Australia","Central Queensland","Gladstone","National or State Highway","No","No","6227802908497164030"
"WA","1","2018","Wednesday","12:14:00","Multiple","No","No","No","110","Passenger","Female","41","Outer Regional Australia","Western Australia - Outback (South)","Irwin","National or State Highway","No","No","4201813570"
"VIC","7","2019","Thursday","05:32:00","Single","No","No","No","60","Pedestrian","Female","72","Major Cities of Australia","Melbourne - North West","Hume","National or State Highway","No","No","2487011629232671296"
"WA","8","2023","Thursday","21:22:00","Single","No","No","No","100","Driver","Male","45","Outer Regional Australia","Western Australia - Wheat Belt","Chittering","National or State Highway","No","No","3609240558640639920"
"SA","11","2016","Wednesday","21:45:00","Single","No","No","No","80","Pedestrian","Male","45","Major Cities of Australia","Adelaide - West","West Torrens","Arterial Road","No","No","4201611160067"
"SA","5","2025","Sunday","13:17:00","Multiple","No","No","Yes","100","Driver","Male","59","Inner Regional Australia","South Australia - South East","Mid Murray","Sub-arterial Road","No","No","1299802062929067271"
"QLD","9","2017","Tuesday","00:00:00","Single","No","No","Yes","100","Passenger","Male","25","Inner Regional Australia","Wide Bay","Bundaberg","National or State Highway","No","No","320171684895"
"WA","5","2016","Tuesday","22:08:00","Multiple","No","No","No","80","Driver","Female","57","Major Cities of Australia","Perth - North East","Swan","Arterial Road","No","No","5201605310067"
"WA","12","2019","Sunday","10:40:00","Multiple","No","No","No","100","Motorcycle rider","Male","76","Major Cities of Australia","Perth - South West","Cockburn","National or State Highway","No","No","4201914142"
